date,equity,return,drawdown
2026-03-02,195129.00884714146,0.025459743962136315,-0.0030001770133351036
2026-03-03,196291.58636075683,0.005957994254591205,0.0
2026-03-04,193189.09925664464,-0.015805502220611087,-0.015805502220610945
2026-03-05,193377.77860628534,0.0009766562935832348,-0.014844282470244607
2026-03-06,192157.4162800338,-0.006310768150544225,-0.021061371795757955
2026-03-09,189438.42872175542,-0.014149792450976521,-0.034913150207091626
2026-03-10,191653.73484696346,0.011694069361512028,-0.02362735764573043
2026-03-11,192319.72061131336,0.003474942791392491,-0.02023451857046854
2026-03-12,192966.49324887182,0.003363007368680477,-0.01693956003684205
2026-03-13,196618.92745139258,0.01892781560687938,0.0
2026-03-16,197149.41535983022,0.002698051074298513,0.0
2026-03-17,197082.75018058225,-0.0003381454574759264,-0.00033814545747601343
2026-03-18,197163.30249285916,0.0004087233012685184,0.0
2026-03-19,194936.91109204167,-0.011292118627897934,-0.011292118627897918
2026-03-20,193519.7113302751,-0.007270043183855608,-0.01848006762169152
2026-03-23,192927.6236567877,-0.003059572946948545,-0.021483099453686982
2026-03-24,193631.04053913706,0.0036460143395570478,-0.01791541280279596
2026-03-25,190548.7609427755,-0.0159183134469525,-0.03354854309322208
2026-03-26,192575.84735948735,0.010638150606083425,-0.023267286941178966
2026-03-27,191245.2486018545,-0.006909478918968425,-0.030016001031525685
2026-03-30,190642.1745392458,-0.0031534067749007058,-0.033074755145418244
2026-03-31,189394.9086375837,-0.00654244479049082,-0.03940081017641117
2026-04-01,191330.8356593258,0.01022164236445546,-0.02958190880244871
2026-04-02,195296.23147654792,0.020725335796278752,-0.009469667999595699
2026-04-03,196853.29608347284,0.00797283488346219,-0.0015723332154955472
2026-04-06,195300.89824913244,-0.007886064725490506,-0.009445998419478574
2026-04-07,196971.5807765586,0.008554402680191319,-0.0009724006134838037
2026-04-08,197960.50394248727,0.00502063882530574,0.0
2026-04-09,196470.2723925676,-0.007527923602137345,-0.007527923602137387
2026-04-10,197234.74140710427,0.003891016209359137,-0.0036661986655370793
2026-04-13,199137.00135280515,0.009644649477723194,0.0
2026-04-14,201742.84987848697,0.013085707367186391,0.0
2026-04-15,204273.63459540362,0.012544606752809318,0.0
2026-04-16,203896.89553478858,-0.0018442862749333804,-0.0018442862749332711
2026-04-17,209540.54227336645,0.027678924310129787,0.0
2026-04-20,211565.88347146456,0.009665629267370439,0.0
2026-04-21,206982.7708692832,-0.021662815038888426,-0.02166281503888845
2026-04-22,204949.05322982185,-0.009825540700417728,-0.031275506868455816
2026-04-23,205682.75588828957,0.003579927044820252,-0.027807543856514516
2026-04-24,202830.81858069164,-0.013865709331252063,-0.041287681867436254
2026-04-27,201908.44034515595,-0.00454752508514261,-0.0456474501835793
2026-04-28,206671.65862362582,0.023590981488080736,-0.023133336847757202
2026-04-29,202422.067191725,-0.020562042518078544,-0.04321971070998731
2026-04-30,201506.50076931043,-0.004523056379754246,-0.047547281901483496
2026-05-01,200516.7975200792,-0.0049115202013469885,-0.05222527266725219
2026-05-04,202336.99137378082,0.009077513087248022,-0.04362183517612617
2026-05-05,206111.73748128203,0.018655739031564648,-0.025779893717685187
2026-05-06,205757.83452785158,-0.0017170441516585289,-0.027452672653605625
2026-05-07,205823.1120864542,0.00031725430408239647,-0.027144127828081177
2026-05-08,201882.63233358564,-0.019144981887230315,-0.045769435879698284
2026-05-11,205617.39172673147,0.018499656706351137,-0.028116498024765013
2026-05-12,208654.78986393372,0.014772087670672396,-0.013759749727906834
2026-05-13,207209.9432081932,-0.006924579381488086,-0.020589048630134554
2026-05-14,207208.9685677958,-4.703637201630157e-06,-0.020593655423920998
2026-05-15,204899.42540318568,-0.011145961396233979,-0.03151008073179262
2026-05-18,208928.65765730577,0.019664439010464115,-0.012465269782093613
2026-05-19,205579.85394810917,-0.01602845558262037,-0.02829392634168626
2026-05-20,205137.41671472377,-0.0021521429502379358,-0.03038517671781349
2026-05-21,208355.9578883914,0.01568968365309732,-0.015172226875162065
2026-05-22,209158.42460589568,0.0038514219878182355,-0.01137923953553499
