mkt_price,ticker,date,mkt_market_cap,target_source,country,sector,company_name,mkt_pe,mkt_pb,mkt_beta_bank,fund_roa,fund_roe,fund_assets,data_source,ret_1m,mkt_vol_1y,mkt_mom_6m,mkt_mom_12m,mkt_drawdown_1y
5.260989189147949,BAMI.MI,2015-01-31,8039019793.9320345,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,,,,,
6.461357593536377,BAMI.MI,2015-02-28,9873234808.628164,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.22816401274202858,,,,
6.827094554901123,BAMI.MI,2015-03-31,10432096757.603188,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.056603733204707796,,,,
6.662982940673828,BAMI.MI,2015-04-30,10181327089.057066,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,-0.02403828054636803,,,,-0.02403828054636803
7.197520732879639,BAMI.MI,2015-05-31,10998124033.063559,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.08022499786735948,0.10522072361176758,,,0.0
6.920873641967773,BAMI.MI,2015-06-30,10575395272.403553,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,-0.038436442377732805,0.10659575278559992,,,-0.038436442377732805
7.403834819793701,BAMI.MI,2015-07-31,11313380911.349936,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.06978326766396648,0.0954173759609771,0.4073085029457739,,0.0
7.1834540367126465,BAMI.MI,2015-08-31,10976629510.863258,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,-0.0297657617228142,0.0937623247084265,0.11175614918738108,,-0.0297657617228142
6.198776721954346,BAMI.MI,2015-09-30,9471999841.540586,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,-0.13707574513957876,0.10890546249328381,-0.09203297653109443,,-0.1627613428945911
6.381646633148193,BAMI.MI,2015-10-31,9751433001.911713,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.029500967593520944,0.10187968340703726,-0.042223777252712424,,-0.13806199240328132
6.400400161743164,BAMI.MI,2015-11-30,9780089207.458004,yfinance_marketcap_proxy,IT,Banks,Banco BPM S.p.A.,9.637681,1.3032827,0.544,0.00997,0.13722,,yfinance_generated_csv,0.0029386660956058908,0.09633208951114743,-0.1107493261526954,,-0.13552904440384272
